Price,Price,Short EMA,Long EMA
Ticker,IBM,,
Date,,,
2010-01-04,74.269775390625,74.269775390625,74.269775390625
2010-01-05,73.37257385253906,74.23459101658241,74.26084801213658
2010-01-06,72.89596557617188,74.18209590127219,74.24726709237575
2010-01-07,72.64363098144531,74.12176394363193,74.23131051415754
2010-01-08,73.37257385253906,74.09238394005966,74.22276587075835
2010-01-11,72.60437774658203,74.03403075600171,74.20666250633869
2010-01-12,73.18195343017578,74.0006159589105,74.19646639612812
2010-01-13,73.02493286132812,73.96235387665237,74.1848093460306
2010-01-14,74.1912841796875,73.97133153559493,74.18487377223614
2010-01-15,73.89408874511719,73.96830240655659,74.18198038888173
2010-01-19,75.21744537353516,74.01728840526162,74.19228352305738
2010-01-20,73.03616333007812,73.97881291211716,74.18077983954515
2010-01-21,72.33521270751953,73.91435800213294,74.1624159874852
2010-01-22,70.37262725830078,73.77546660041403,74.12470664689631
2010-01-25,70.72030639648438,73.65565639633837,74.09083201753899
2010-01-26,70.51280212402344,73.53240720918878,74.05522973004132
2010-01-27,70.83805084228516,73.42674617519255,74.02321799981489
2010-01-28,69.39137268066406,73.26849623423065,73.97712998668901
2010-01-29,68.62873077392578,73.08654464755203,73.92391208407444
2010-02-01,69.90723419189453,72.9618658061537,73.88394513987366
2010-02-02,70.38948059082031,72.860987954572,73.8491743483408
2010-02-03,70.46234893798828,72.76692367941185,73.81547459301392
2010-02-04,68.9708251953125,72.61805707219226,73.76726912637012
2010-02-05,69.26239013671875,72.486462290409,73.72244445980643
2010-02-08,68.64842987060547,72.33595121512258,73.6719567524512
2010-02-09,69.39755249023438,72.22071989257795,73.6294253667575
2010-02-10,69.17227935791016,72.10117320494392,73.58507565522669
2010-02-11,69.69046020507812,72.0066354402433,73.5463232626879
2010-02-12,69.84252166748047,71.92176823346828,73.50946951547192
2010-02-16,70.53529357910156,71.86739667839508,73.47987572506028
2010-02-17,71.15487670898438,71.83945471881036,73.45674140649236
2010-02-18,71.98849487304688,71.8452994307412,73.44213198824913
2010-02-19,71.6393051147461,71.83722122227081,73.42419341239338
2010-02-22,71.4477767944336,71.8219488917674,73.40452757539875
2010-02-23,71.22811889648438,71.798661440972,73.38287176764837
2010-02-24,71.86457061767578,71.80124611456823,73.36776429351929
2010-02-25,71.57168579101562,71.79224374893872,73.34989286563369
2010-02-26,71.62238311767578,71.78558254771272,73.33270371391272
2010-03-01,72.41655731201172,71.8103266561166,73.3235878293167
2010-03-02,71.76882934570312,71.8086993106102,73.3081175956489
2010-03-03,71.46464538574219,71.79520699983105,73.28977458858515
2010-03-04,71.37452697753906,71.7787097440549,73.27071739842549
2010-03-05,71.6730728149414,71.77456711938378,73.2548204373958
2010-03-08,71.1999282836914,71.75203226308211,73.23437374929924
2010-03-09,70.71554565429688,71.71138572940426,73.20931078317982
2010-03-10,70.7549819946289,71.67387970058954,73.18488960120419
2010-03-11,71.87022399902344,71.68157947699872,73.17180835143124
2010-03-12,72.06170654296875,71.69648642076224,73.1607625622923
2010-03-15,71.999755859375,71.70837933992354,73.14921025679064
2010-03-16,72.4728775024414,71.73835966002228,73.14248057764289
2010-03-17,71.9603271484375,71.74706426741112,73.13071785695428
2010-03-18,72.30953979492188,71.76912213123508,73.1225469309639
2010-03-19,71.93217468261719,71.77551634893635,73.11070243098035
2010-03-22,72.08423614501953,71.78762300760629,73.10048883609517
2010-03-23,72.86713409423828,71.8299567757095,73.09816689836526
2010-03-24,72.3940200805664,71.85207690531173,73.09116046236727
2010-03-25,72.79393768310547,71.88901262208796,73.0882030217776
2010-03-26,72.80519104003906,71.92494118749782,73.08538698215833
2010-03-29,72.42784118652344,71.94466275608707,73.07884423792315
2010-03-30,72.52921295166016,71.96758629316837,73.07337526990064
2010-03-31,72.2363052368164,71.97812429095849,73.06504621484507
2010-04-01,72.2363052368164,71.98824903393331,73.05680003595921
2010-04-05,72.85587310791016,72.02227350742261,73.0548007630433
2010-04-06,72.61935424804688,72.04568843842749,73.05046796189906
2010-04-07,72.36588287353516,72.05824508294151,73.04365616997505
2010-04-08,71.87583923339844,72.05109191237119,73.03203610095439
2010-04-09,72.5235595703125,72.06962005581987,73.0269766329878
2010-04-12,72.29825592041016,72.07858616815675,73.01972568062384
2010-04-13,72.6756362915039,72.10199989848408,73.01630190560772
2010-04-14,73.92606353759766,72.1735318059003,73.02535426015488
2010-04-15,73.7232894897461,72.2343066170315,73.03229888930505
2010-04-16,73.57684326171875,72.2869551129016,73.03771724126938
2010-04-19,74.47802734375,72.37287951411135,73.05204868507515
2010-04-20,73.0473861694336,72.39933075549654,73.05200229188469
2010-04-21,72.65313720703125,72.40928394967436,73.04803348507023
2010-04-22,72.73197174072266,72.42193837285272,73.04488859209165
2010-04-23,73.21633911132812,72.45309134298901,73.04659456740744
2010-04-26,73.63317108154297,72.49936897979505,73.05243114963766
2010-04-27,72.55736541748047,72.50164334990036,73.04750512245202
2010-04-28,73.27830505371094,72.53210067161844,73.04980163918097
2010-04-29,73.48109436035156,72.5693161103923,73.05409310904338
2010-04-30,72.65873718261719,72.57282281910699,73.05015921922819
2010-05-03,72.99668884277344,72.58944501611353,73.0496271756814
2010-05-04,72.16310119628906,72.57272565063022,73.04080602165759
2010-05-05,71.79134368896484,72.54208322076099,73.02837356063577
2010-05-06,70.15521240234375,72.44848044356814,72.99978489239406
2010-05-07,69.12484741210938,72.31814189331486,72.96122830055043
2010-05-10,71.48564147949219,72.28549481826299,72.94654584461951
2010-05-11,71.83663940429688,72.26789264516628,72.93550199944217
