Price,Price,SMA_50,SMA_200
Ticker,IBM,,
Date,,,
2010-10-18,81.26148986816406,74.7079916381836,72.75469230651855
2010-10-19,78.53055572509766,74.77660583496093,72.77599620819092
2010-10-20,79.12227630615234,74.85887420654296,72.80474472045898
2010-10-21,79.55467987060547,74.97266204833984,72.83803829193116
2010-10-22,79.46363830566406,75.10203887939453,72.87213832855224
2010-10-25,79.56034851074219,75.23824249267578,72.90307720184326
2010-10-26,80.0325698852539,75.38502868652344,72.94021816253662
2010-10-27,80.46499633789062,75.53272613525391,72.97663337707519
2010-10-28,80.16343688964844,75.66369567871094,73.0123258972168
2010-10-29,81.6995620727539,75.83096374511719,73.04986728668213
2010-11-01,81.540283203125,76.01097671508789,73.08809825897217
2010-11-02,81.83610534667969,76.20862579345703,73.1211915588379
2010-11-03,82.02385711669922,76.42789489746093,73.16613002777099
2010-11-04,83.51449584960938,76.67276657104492,73.22202644348144
2010-11-05,83.58847045898438,76.94745101928712,73.28810565948487
2010-11-08,83.69700622558594,77.20211776733399,73.35298915863036
2010-11-09,83.51412963867188,77.4682600402832,73.41799579620361
2010-11-10,83.74845123291016,77.7421614074707,73.48254779815674
2010-11-11,83.1083984375,77.97322128295899,73.55113292694092
2010-11-12,82.14262390136719,78.19327224731445,73.61870239257813
2010-11-15,82.08546447753906,78.3832780456543,73.67959354400635
2010-11-16,81.28543090820312,78.57583084106446,73.73407329559326
2010-11-17,81.11966705322266,78.7635890197754,73.78735988616944
2010-11-18,82.4969482421875,78.97570617675781,73.8549905014038
2010-11-19,82.8912353515625,79.17716232299804,73.92313472747803
2010-11-22,83.08555603027344,79.36407150268555,73.99532035827637
2010-11-23,81.82260131835938,79.53436935424804,74.05744560241699
2010-11-24,83.3255386352539,79.72812591552734,74.12821189880371
2010-11-26,82.23405456542969,79.89732177734375,74.19092987060547
2010-11-29,81.6568832397461,80.0490576171875,74.2500016784668
2010-11-30,80.83964538574219,80.16624252319336,74.3015234375
2010-12-01,82.5255126953125,80.31498260498047,74.35837661743165
2010-12-02,82.96552276611328,80.46580963134765,74.41326175689697
2010-12-03,83.0798568725586,80.62916412353516,74.47046451568603
2010-12-06,82.85697174072266,80.76029693603516,74.52751049041748
2010-12-07,82.30264282226562,80.87419830322266,74.58288311004638
2010-12-08,82.85124969482422,80.99634155273438,74.63781650543213
2010-12-09,82.46263885498047,81.10399871826172,74.69227127075196
2010-12-10,82.75983428955078,81.2328466796875,74.74795852661133
2010-12-13,82.45121765136719,81.33845474243164,74.7981318283081
2010-12-14,83.33125305175781,81.46610107421876,74.85594394683838
2010-12-15,82.70265197753906,81.55375228881836,74.91213397979736
2010-12-16,82.60550689697266,81.63741271972657,74.96828887939454
2010-12-17,82.86263275146484,81.71620208740234,75.02423667907715
2010-12-20,82.58264923095703,81.78791275024415,75.08115028381347
2010-12-21,83.28555297851562,81.86446487426758,75.14400032043457
2010-12-22,83.40557098388672,81.94125579833984,75.20725326538086
2010-12-23,83.37126159667969,82.01144332885742,75.26475845336914
2010-12-27,83.05697631835938,82.06248733520508,75.31973480224609
2010-12-28,83.26842498779297,82.12276657104492,75.37607814788818
2010-12-29,83.73128509521484,82.17216247558594,75.43237018585205
2010-12-30,83.81702423095703,82.27789184570312,75.49165367126464
2010-12-31,83.86846160888672,82.37281555175781,75.54944828033447
2011-01-03,84.27989959716797,82.46731994628907,75.61118690490723
2011-01-04,84.3713150024414,82.56547348022461,75.67262229919433
2011-01-05,84.0341796875,82.65495010375976,75.72845752716064
2011-01-06,84.9542465209961,82.75338363647461,75.7912586593628
2011-01-07,84.53707885742188,82.83482528686524,75.84997436523437
2011-01-10,84.3713150024414,82.9189828491211,75.90780498504638
2011-01-11,84.1656265258789,82.9683041381836,75.96649391174316
2011-01-12,85.2057113647461,83.04161270141601,76.0298764038086
2011-01-13,85.045654296875,83.10580368041992,76.09392314910889
2011-01-14,85.72001647949219,83.17972686767578,76.16134170532227
2011-01-18,86.09143829345703,83.23126571655274,76.22751953125
2011-01-19,88.97166442871094,83.33892959594726,76.30928108215332
2011-01-20,89.03455352783203,83.44568054199219,76.3926244354248
2011-01-21,88.86309051513672,83.55265975952149,76.4775606918335
2011-01-24,91.22322845458984,83.70215530395508,76.57105903625488
2011-01-25,92.25755310058594,83.88513839721679,76.67085552215576
2011-01-26,92.02897644042969,84.08286544799805,76.76762222290039
2011-01-27,92.04613494873047,84.28207885742188,76.85822257995605
2011-01-28,90.98321533203125,84.47603454589844,76.94452220916747
2011-01-31,92.57758331298828,84.70519287109374,77.03952590942383
2011-02-01,93.46907043457031,84.92463531494141,77.13448112487794
2011-02-02,93.32052612304688,85.1332211303711,77.23584682464599
2011-02-03,93.45195007324219,85.34054901123046,77.33984088897705
2011-02-04,93.72055053710938,85.57850799560546,77.44478378295898
2011-02-07,94.18912506103516,85.79577972412109,77.54964771270753
2011-02-08,95.26774597167969,86.0564535522461,77.6578205871582
2011-02-09,94.46453857421875,86.31260665893555,77.7673564529419
2011-02-10,94.14324951171875,86.57867874145508,77.87168117523193
2011-02-11,94.00554656982422,86.80827941894532,77.9743034362793
2011-02-14,93.64410400390625,87.02185104370118,78.07923027038574
2011-02-15,93.42607116699219,87.22877532958984,78.18137718200684
2011-02-16,93.74738311767578,87.4465835571289,78.28929859161377
2011-02-17,94.22930145263672,87.68511672973632,78.40148838043213
2011-02-18,94.5735092163086,87.91956192016602,78.52357986450195
2011-02-22,92.91547393798828,88.12861862182618,78.64253299713135
2011-02-23,91.90001678466797,88.31142227172852,78.74460487365722
